City,State,2018_Population_Estimate,2010_Population_Census,Percentage_of_Population_Change,Land_Area(sq mi),Water_Area(sq mi),Elevation(ft),City_WebSite
High Point, North Carolina,112316,104371,+7.61,53.8,1.7,938.0,http://www.highpointnc.gov
Downey, California,112269,111772,+0.44,12.41,0.16,118.0,http://www.downeyca.org
Clovis, California,112022,95631,+17.14,24.4,0.0,361.0,http://www.ci.clovis.ca.us
Pompano Beach, Florida,111954,99845,+12.13,24.04,0.67,13.0,http://www.pompanobeachfl.gov
Pueblo, Colorado,111750,106595,+4.84,53.59,0.79,4692.0,http://www.pueblo.us/
Elgin, Illinois,111683,108188,+3.23,37.45,0.49,817.0,http://cityofelgin.org
Lowell, Massachusetts,111670,106519,+4.84,13.8,0.8,102.0,http://www.lowellma.gov/
Antioch, California,111535,102372,+8.95,29.35,0.78,43.0,http://www.ci.antioch.ca.us
West Palm Beach, Florida,111398,99919,+11.49,55.13,2.56,13.0,http://wpb.org/
Peoria, Illinois,111388,115007,−3.15,48.23,2.22,509.0,http://www.peoriagov.org
Ventura, California,111128,106433,+4.41,21.82,10.43,36.0,http://cityofventura.net
Centennial, Colorado,110831,100377,+10.41,29.55,0.15,5830.0,http://www.centennialco.gov/
Lakeland, Florida,110516,97422,+13.44,65.91,9.02,197.0,http://www.lakelandgov.net/
Gresham, Oregon,110158,105594,+4.32,23.2,0.23,325.0,http://www.greshamoregon.gov/
Richmond, California,110146,103701,+6.21,30.05,22.46,46.0,http://www.ci.richmond.ca.us
Billings, Montana,109550,104170,+5.16,43.41,0.11,3123.0,http://www.cityofbillings.net/
Inglewood, California,109419,109673,−0.23,9.07,0.03,131.0,http://www.cityofinglewood.org
Broken Arrow, Oklahoma,109171,98850,+10.44,45.0,0.6,755.0,http://www.brokenarrowok.gov
Sandy Springs, Georgia,108797,93853,+15.92,37.6,0.9,1093.0,http://www.sandyspringsga.gov
Hillsboro, Oregon,108389,91611,+18.31,24.24,0.01,194.0,http://www.hillsboro-oregon.gov/
Waterbury, Connecticut,108093,110366,−2.06,28.5,0.4,270.0,http://www.waterburyct.org
Santa Maria, California,107408,99553,+7.89,22.78,0.64,217.0,http://www.ci.santa-maria.ca.us
Boulder, Colorado,107353,97385,+10.24,24.84,1.01,5328.0,http://bouldercolorado.gov
Greeley, Colorado,107348,92889,+15.57,47.79,0.12,4675.0,http://greeleygov.com
Daly City, California,107008,101123,+5.82,7.64,0.0,344.0,http://www.dalycity.org
Meridian, Idaho,106804,75092,+42.23,29.72,0.06,2605.0,http://www.meridiancity.org
Lewisville, Texas,106586,95290,+11.85,36.4,6.07,525.0,http://www.cityoflewisville.com
Davie, Florida,106558,91992,+15.83,34.9,0.83,9.0,http://www.davie-fl.gov
West Covina, California,106311,106098,+0.20,16.04,0.05,384.0,http://www.westcovina.org
League City, Texas,106244,83560,+27.15,51.3,1.7,20.0,http://www.leaguecitytx.gov/
Tyler, Texas,105729,96900,+9.11,54.2,0.1,544.0,http://www.cityoftyler.org
Norwalk, California,105120,105549,−0.41,9.71,0.04,92.0,http://www.norwalk.org
San Mateo, California,105025,97207,+8.04,12.13,3.75,46.0,http://www.cityofsanmateo.org
Green Bay, Wisconsin,104879,104057,+0.79,45.48,10.28,581.0,http://greenbaywi.gov
Wichita Falls, Texas,104576,104553,+0.02,70.66,0.04,948.0,http://www.wichitafallstx.gov
Sparks, Nevada,104246,90264,+15.49,35.8,0.2,4413.0,http://cityofsparks.us
Lakewood, New Jersey,104157,92843,+12.19,24.58,0.41,49.0,http://www.lakewoodnj.gov/
Burbank, California,103695,103340,+0.34,17.35,0.04,607.0,http://www.burbankca.gov
Rialto, California,103440,99171,+4.30,22.33,0.01,1257.0,http://www.rialtoca.gov
El Cajon, California,103241,99478,+3.78,14.48,0.0,433.0,http://www.ci.el-cajon.ca.us
Las Cruces, New Mexico,102926,97618,+5.44,76.5,0.2,3900.0,http://www.las-cruces.org
Renton, Washington,102153,90927,+12.35,23.43,0.18,46.0,http://www.rentonwa.gov/
Davenport, Iowa,102085,99685,+2.41,62.95,2.13,580.0,http://www.cityofdavenportiowa.com/
South Bend, Indiana,101860,101168,+0.68,41.4,0.42,692.0,http://www.southbendin.gov
Vista, California,101224,93834,+7.88,18.68,0.0,325.0,http://www.cityofvista.com
Tuscaloosa, Alabama,101113,90468,+11.77,61.64,10.06,222.0,http://www.tuscaloosa.com/
Clinton, Michigan,100800,96796,+4.14,28.2,0.04,876.0,https://clintontownship.com/index.html
Edison, New Jersey,100693,99967,+0.73,29.94,0.7,39.0,http://www.edisonnj.org/
Woodbridge, New Jersey,100450,99585,+0.87,23.21,1.29,59.06,http://www.twp.woodbridge.nj.us/
San Angelo, Texas,100215,93200,+7.53,55.9,2.3,1844.0,http://www.cosatx.us/
Kenosha, Wisconsin,100164,99218,+0.95,27.91,0.09,604.0,http://www.kenosha.org/
Vacaville, California,100154,92428,+8.36,28.81,0.21,174.0,http://www.cityofvacaville.com
